date,zuzycie energii RA1,Zużycie energii RA2,Zużycie energii RA3
2024-02-14 10:52:47,1.015280128,58.35622787,58.67220688
2024-02-14 10:52:51,0.9037048221,58.22910309,58.69194412
2024-02-14 10:54:08,0.9183105826,58.55421829,58.78551102
2024-02-14 10:54:11,0.9141693115,58.45756912,58.7428093
2024-02-14 10:54:15,0.9172485471,58.26903152,58.71328354
2024-02-14 10:54:18,0.9501495361,58.34848785,58.83571243
2024-02-14 10:54:22,0.9228790402,58.72912216,58.90122223
2024-02-14 10:54:25,0.9153808951,58.45511627,58.71806717
2024-02-14 10:54:28,0.9055023193,58.14406967,58.86169052
2024-02-14 10:54:31,0.9266052246,58.85625076,59.04293823
2024-02-14 10:54:35,0.9255218506,58.44702148,58.83599472
2024-02-14 10:54:40,0.9119659662,58.43918991,58.77069855
2024-02-14 10:54:43,0.9279876947,58.39290237,58.792202
2024-02-14 10:54:46,0.9120361209,58.3679924,58.90234375
2024-02-14 10:54:50,0.9065521359,58.25928879,58.6362915
2024-02-14 10:54:53,0.9156799316,58.3327446,58.97275925
2024-02-14 10:54:56,0.9008026123,58.6373558,58.96009064
2024-02-14 10:55:00,0.8710907102,58.31643677,58.70342636
2024-02-14 10:55:04,0.9141327143,58.64884567,58.88674545
2024-02-14 10:55:07,0.9033386111,58.29005814,58.67608261
2024-02-14 10:55:11,0.8828155398,58.14521027,58.69129562
2024-02-14 10:55:15,0.9116668701,58.24335861,58.62343216
2024-02-14 10:55:18,0.9090759158,58.1416626,58.64557648
2024-02-14 10:55:21,0.8959930539,58.52693558,58.87495041
2024-02-14 10:55:25,0.8939453363,58.27688599,58.67758179
2024-02-14 10:55:29,0.8923370242,58.79853058,59.01143265
2024-02-14 10:55:33,0.912753284,58.2857933,58.91820145
2024-02-14 10:55:37,0.910394311,58.59453964,58.87497711
2024-02-14 10:55:41,0.9089569449,58.38486862,58.72354889
2024-02-14 10:55:44,0.9025146365,58.13232422,58.60938263
2024-02-14 10:55:48,0.8840332031,58.23226547,58.66299057
2024-02-14 10:55:51,0.900552392,58.68428421,58.9171524
2024-02-14 10:55:55,0.9092499018,58.01964951,58.67562866
2024-02-14 10:56:00,0.8952667117,58.69890976,58.92631912
2024-02-14 10:56:04,0.8828277588,58.16894531,58.74928665
2024-02-14 10:56:09,0.898385644,58.68357086,58.92691803
2024-02-14 10:56:12,0.8850769401,58.50421906,58.86878586
2024-02-14 10:56:15,0.8938476443,57.84154129,58.70199203
2024-02-14 10:56:19,0.8992065787,58.65456772,58.90886307
2024-02-14 10:56:22,0.8974944949,58.42921066,58.73140335
2024-02-14 10:56:25,0.8819244504,58.07229614,58.61052322
2024-02-14 10:56:28,0.9912841916,58.35079956,58.71799469
2024-02-14 10:56:31,0.9923675656,58.60425568,58.94118118
2024-02-14 10:56:34,0.9906280637,58.44483566,58.66846466
2024-02-14 10:56:39,0.9801697135,58.48236084,58.82291794
2024-02-14 10:56:41,0.9783203006,58.28508377,58.73221588
2024-02-14 10:56:44,0.9748107791,58.22600174,58.7113533
2024-02-14 10:56:47,0.9743713737,58.47202682,58.8196373
2024-02-14 10:56:51,0.9806548953,58.57055664,58.86950302
2024-02-14 10:56:54,0.9777283072,58.01670074,58.55387115
2024-02-14 10:56:58,0.9781219363,58.54327011,58.7538414
2024-02-14 10:57:01,0.9913207889,58.33037186,58.69691849
2024-02-14 10:57:04,0.9783203006,58.12737656,58.57047272
2024-02-14 10:57:07,0.9630615115,58.42832565,58.5857811
2024-02-14 10:57:10,1.112286448,58.52841187,58.79891586
2024-02-14 10:57:13,0.9457916617,58.0739212,58.57513428
2024-02-14 10:57:17,0.9514557123,58.59639359,58.89605331
2024-02-14 10:57:21,0.9541595578,58.49131393,58.81256104
2024-02-14 10:57:24,0.9451019168,58.5571785,58.84092331
2024-02-14 10:57:27,0.9464111328,58.34756088,58.70268631
2024-02-14 10:57:31,0.9446746707,58.38991928,58.73960114
2024-02-14 10:57:34,0.931640625,58.46016312,58.85269165
2024-02-14 10:57:37,1.04623723,57.64997482,57.99407578
2024-02-14 10:57:40,1.054318309,58.28188705,58.72776031
2024-02-14 10:57:43,1.036654711,58.36928177,58.67411041
2024-02-14 10:57:48,1.028741479,58.41865921,58.71080399
2024-02-14 10:57:51,1.041226268,57.76725006,58.45366287
2024-02-14 10:57:55,1.005471826,57.82891846,58.45064163
2024-02-14 10:57:58,1.020016551,58.06079865,58.57633209
2024-02-14 10:58:01,1.043441772,58.27536774,58.46044922
2024-02-14 10:58:05,1.043807983,58.40956497,58.60716629
2024-02-14 10:58:08,1.028405786,58.18347168,58.62190628
2024-02-14 10:58:11,0.9995300174,57.9666214,58.54187012
2024-02-14 10:58:14,0.9857757688,58.48171997,58.77079391
2024-02-14 10:58:17,1.020471215,58.39070511,58.4007225
2024-02-14 10:58:21,1.010626197,58.17145538,58.70854568
2024-02-14 10:58:24,0.9808685184,58.31751251,58.68744659
2024-02-14 10:58:27,0.9957580566,57.66305161,58.3253746
2024-02-14 10:58:31,0.9977234006,58.24683762,58.6406517
2024-02-14 10:58:34,1.012493968,58.13153839,58.59668732
2024-02-14 10:58:37,1.011911035,58.38139725,58.7225914
2024-02-14 10:58:40,0.9891784787,58.3956604,58.77022171
2024-02-14 10:58:43,0.9982696772,58.27079391,58.64488602
2024-02-14 10:58:47,0.9981048703,58.15704346,58.85673904
2024-02-14 10:58:50,1.000354052,58.12363815,58.61454391
2024-02-14 10:58:53,0.9776916504,57.96571732,58.51803207
2024-02-14 10:58:57,0.9695861936,58.46319199,58.80644608
2024-02-14 10:59:00,0.9798340201,57.9239502,58.50131226
2024-02-14 10:59:03,0.9726806879,58.29817581,58.68925095
2024-02-14 10:59:06,0.9667083621,58.33846664,58.56801987
2024-02-14 10:59:09,0.9749420285,57.84424973,58.38996124
2024-02-14 10:59:12,0.9708954096,58.29081345,58.68062973
2024-02-14 10:59:15,0.9622894526,58.59188843,58.37843704
2024-02-14 10:59:19,0.987475574,58.05442047,58.55606079
2024-02-14 10:59:22,0.9706451297,58.20721436,58.60894775
2024-02-14 10:59:25,0.9698120356,57.81475449,58.29522705
2024-02-14 10:59:28,0.939807117,57.9862442,58.49347687
2024-02-14 10:59:31,0.9508392215,57.85777664,58.42713165
2024-02-14 10:59:34,0.9719543457,57.99880981,58.47261429
2024-02-14 10:59:38,0.9492920041,57.75365067,58.37443161
2024-02-14 10:59:40,0.9527435303,57.70431137,58.38886642
2024-02-14 10:59:44,0.960003674,57.96967316,58.59633255
2024-02-14 10:59:47,0.9527099729,57.74576569,58.23700714
2024-02-14 10:59:51,0.9679077268,57.8758812,58.36788559
2024-02-14 10:59:55,0.9617645144,58.18709183,58.6227684
2024-02-14 10:59:58,0.9615020752,58.34653854,58.68608475
2024-02-14 11:00:02,0.9582916498,57.91102219,58.42636871
2024-02-14 11:00:05,1.065341234,58.33958054,58.62000275
2024-02-14 11:00:08,1.058511376,57.71866989,58.54201126
2024-02-14 11:00:10,1.048083544,58.00201035,58.54687119
2024-02-14 11:00:13,1.059008837,57.98434067,58.53334427
2024-02-14 11:00:16,1.066043139,58.29929733,58.66381836
2024-02-14 11:00:19,1.052023292,58.37649155,58.63755417
2024-02-14 11:00:22,1.058938622,57.64419174,58.29215622
2024-02-14 11:00:25,1.049878001,57.98505402,58.4667778
2024-02-14 11:00:28,1.051519752,57.98260117,58.4197998
2024-02-14 11:00:32,1.048999071,57.97364426,58.50245285
2024-02-14 11:00:34,1.047521949,58.01115036,58.53236771
2024-02-14 11:00:38,1.070590258,57.79872513,58.31575394
2024-02-14 11:00:41,1.05721128,58.34382248,58.68706131
2024-02-14 11:00:44,1.05796206,57.6166153,57.93609238
2024-02-14 11:00:47,1.031311035,58.03358078,58.48012161
2024-02-14 11:00:51,1.045251489,58.44431305,58.7078743
2024-02-14 11:00:54,1.056259155,57.50894165,58.20499802
2024-02-14 11:00:57,1.040332079,57.94047928,58.33152008
2024-02-14 11:00:59,1.034298778,58.19762039,58.53239059
2024-02-14 11:01:03,1.064355493,57.97676468,58.4270401
2024-02-14 11:01:06,1.049227953,58.02350616,58.54774857
2024-02-14 11:01:10,1.063018799,57.64492798,58.32073593
2024-02-14 11:01:13,1.042739868,57.99767685,58.4532547
2024-02-14 11:01:16,1.047460914,58.15311813,58.54575348
2024-02-14 11:01:19,1.054879785,57.64116287,58.32899857
2024-02-14 11:01:22,1.039620996,57.9294014,58.49212265
2024-02-14 11:01:25,1.057104468,58.09903717,58.44153976
2024-02-14 11:01:28,1.058938622,57.52862549,58.20642853
2024-02-14 11:01:31,1.060153246,57.83118439,58.39936447
2024-02-14 11:01:34,1.052737474,57.58271027,58.11550522
2024-02-14 11:01:38,1.042691112,57.9853096,58.41267776
2024-02-14 11:01:41,1.055471778,57.31341553,58.44735336
2024-02-14 11:01:45,1.060891747,58.10258102,58.59470749
2024-02-14 11:01:48,1.053665161,57.5098381,58.29763412
2024-02-14 11:01:51,1.066305518,58.05358505,58.4091301
2024-02-14 11:01:55,1.052832007,58.07522583,58.54634476
2024-02-14 11:01:58,1.056094408,57.3510437,58.37897873
2024-02-14 11:02:01,1.051617503,58.26522446,58.58882523
2024-02-14 11:02:04,1.056747437,57.70488358,58.40365219
2024-02-14 11:02:06,1.047332764,57.52686691,58.45737457
2024-02-14 11:02:10,1.051461816,57.97850418,58.4394722
2024-02-14 11:02:13,1.056594849,58.08623123,58.58192062
2024-02-14 11:02:16,1.046963573,57.59417725,57.93549347
2024-02-14 11:02:20,1.043130517,57.95173264,58.43261337
2024-02-14 11:02:24,1.043121338,58.19290161,58.59678268
2024-02-14 11:02:27,1.053012133,58.00179672,58.17954254
2024-02-14 11:02:32,1.061770678,58.10654449,58.54015732
2024-02-14 11:02:36,1.041275024,57.65435791,57.9561882
2024-02-14 11:02:39,1.060199022,57.97948074,58.46464157
2024-02-14 11:02:43,1.050344825,57.80927658,58.2829895
2024-02-14 11:02:46,1.044213891,57.6796875,58.31058502
2024-02-14 11:02:49,1.048715234,57.90330887,58.42579269
2024-02-14 11:02:54,1.065747142,57.84994507,58.44408798
2024-02-14 11:02:58,1.065435767,57.89530182,58.46964264
2024-02-14 11:03:02,1.042929053,57.80753708,58.3967247
